id,description,title,link,condition,price,availability,image link,additional image link,brand,gtin,mpn,google product category,shipping,product type,promotion id
,,,,,,,,,,,,,,,
95,UK's #1 selling Height Adjustable Sit-Stand Desk. Excellent value. Volume Discounts. Frame only option. Reuse current desktops. No installation fee. Free Trial.,Up/Down® DeskPro - Electric Standing Desk [from £479 exVAT],https://sit-stand.com/electric-desks/95-desk-pro2x.html,new,575.94 GBP,in stock,https://sit-stand.com/img/shop/clean/deskpro.png,,Up/Down,,TEDF2,4191,GB::Standard:60.00 GBP,Furniture > Office Furniture > Desks,BLACKFRIDAY_Offer_Nov
24,Recommended for Active Sitting. Adjusts to your sitting & perching height. Available in 12 different colours (and 2 sizes). Prices start from £279.95 (ex VAT). Free Trial.,Muvman Stool  – Award winning Sit-Stand Stool [From £279.95 ex VAT],https://sit-stand.com/stools-seating/24-muvman-stool.html,new,335.94 GBP,in stock,https://sit-stand.com/img/shop/clean/muvman.jpg,,Aeris,825282367463,Muv 1001,2045,GB::Standard:0.00 GBP,Furniture > Office Furniture > Office & Desk Chairs,MATBONUS_Offer_Nov
25,FREE Mat Offer with purchase of Yo-Yo Desk - expires 30th Sept. FREE Imprint Comfort CumulusPRO™ to boost blood circulation and movement whilst standing.,Imprint Comfort Mat - Award Winning. Improves wellness and productivity.,https://sit-stand.com/comfort-mats/25-comfort-mat.html,new,89.94 GBP,in stock,https://sit-stand.com/img/shop/clean/mat.png,,Imprint,879207005503,9020,6462,GB::Standard:9.0 GBP,Office Supplies > Office & Chair Mats > Anti-Fatigue Mats,
93,UK's #1 selling Height Adjustable Sit-Stand Desk. Excellent value. Volume Discounts. Frame only option. Reuse current desktops. No installation fee. Free Trial.,Up/Down® DeskPro - Electric Standing Desk [from £349 ex VAT],https://sit-stand.com/electric-desks/93-desk-pro1.html,new,419.94 GBP,in stock,https://sit-stand.com/img/shop/clean/deskpro1.png,,Up/Down,825282367111,AF140,4191,GB::Standard:60.00 GBP,Furniture > Office Furniture > Desks,BLACKFRIDAY_Offer_Nov
113,"Best Prices. No delivery fee. The award winning Swopper® enables movement, for dynamic, active sitting. Available in either Anthracite or Titanium Base, with or without Rollers and Backrest. The Swopper® has won many awards for design and function. When you sit on it. You move. The Swopper® comes in a variety of colour and fabric options. For more info call us on 0333 2200 375.","Swopper® Standard Stool. Boost fitness, back health and fun to use. Best prices at Sit-Stand.Com.",https://sit-stand.com/stools/113-swopper-standard.html,new,467.94 GBP,in stock,https://sit-stand.com/img/shop/clean/swopper-standard.jpg,,Aeris,825282367074,106117,2045,GB::Standard:0.00 GBP,Furniture > Office Furniture > Office & Desk Chairs,
115,"Best Prices. No delivery fee‎. The award winning Swopper® enables movement, for dynamic, active sitting. Available in either Anthracite or Titanium Base, with or without Rollers and Backrest. The Swopper® has won many awards for design and function. When you sit on it. You move. The Swopper® comes in a variety of colour and fabric options. For more info call us on 0333 2200 375.","Swopper® Air Stool. Boost fitness, back health and fun to use. Best prices at Sit-Stand.Com.",https://sit-stand.com/stools/115-swopper-air.html,new,514.74 GBP,in stock,https://sit-stand.com/img/shop/clean/swopper-air.jpg,,Aeris,825282366893,SWOPAIR30,2045,GB::Standard:0.00 GBP,Furniture > Office Furniture > Office & Desk Chairs,
116,"Best Prices. No delivery fee‎. The award winning Swopper® enables movement, for dynamic, active sitting. Available in either Anthracite or Titanium Base, with or without Rollers and Backrest. The Swopper® has won many awards for design and function. When you sit on it. You move. The Swopper® comes in a variety of colour and fabric options. For more info call us on 0333 2200 375.","Swopper® Saddle Stool. Boost fitness, back health and fun to use. Best prices at Sit-Stand.Com.",https://sit-stand.com/stools/116-swopper-saddle.html,new,559.14 GBP,in stock,https://sit-stand.com/img/shop/clean/swopper-saddle.jpg,,Aeris,4250200477645,SWOPSA80,2045,GB::Standard:0.00 GBP,Furniture > Office Furniture > Office & Desk Chairs,
117,"Best Prices. No delivery fee‎. The award winning Swopper® enables movement, for dynamic, active sitting. Available in either Anthracite or Titanium Base, with or without Rollers and Backrest. The Swopper® has won many awards for design and function. When you sit on it. You move. The Swopper® comes in a variety of colour and fabric options. For more info call us on 0333 2200 375.","Swopper® Work Stool. Boost fitness, back health and fun to use. Best prices at Sit-Stand.Com.",https://sit-stand.com/stools/117-swopper-work.html,new,595.14 GBP,in stock,https://sit-stand.com/img/shop/clean/swopper-work.jpg,,Aeris,4250200481178,SWOPWKS10,2045,GB::Standard:0.00 GBP,Furniture > Office Furniture > Office & Desk Chairs,
120,Yo-Yo Desk™ MINI only £219.95. Greater height extension (50cm). Work sitting or standing. Smooth up / down mechanism. Free Trial available. 25% cheaper than Varidesk PP30.,Yo-Yo Desk MINI® [£219.95] Outstanding Value Standing Desk. Cheaper than Varidesk 30 [£293.94],https://sit-stand.com/desk-risers/120-yo-yo-desk-mini.html,new,219.95 GBP,in stock,https://sit-stand.com/img/shop/clean/yoyo-mini1.jpg,,Yo-YoDesk,825282367555,"MT101S-B
",4191,GB::Standard:19.80 GBP,Furniture > Office Furniture > Desks,MATBONUS_Offer_Nov
123,Yo-Yo Desk™ 90 only £279.95. Greater height extension (50cm). Work sitting or standing. Smooth up / down mechanism. Free Trial available. 16% cheaper than Varidesk PP36.,Yo-Yo Desk 90® [£279.95] Outstanding Value Standing Desk. Compared to Varidesk 36 [£334.75],https://sit-stand.com/desk-risers/123-yo-yo-desk-90.html,new,279.95 GBP,in stock,https://sit-stand.com/img/shop/clean/yoyo90-1.png,https://sit-stand.com/img/shop/clean/yoyo90-2.png,Yo-YoDesk,825282367708,MT101M-B,4191,GB::Standard:19.80 GBP,Furniture > Office Furniture > Desks,MATBONUS_Offer_Nov
44,"Suitable for up to 6 hours use per day. Treadmill base for use with an existing height adjustable desk. Ideal model for offices with shared spaces. Requires little to no maintenance. Fitted with a DC motor for quieter performance from  the Standing Desk Megastore®
",TR1200-DT3 LifeSpan® Under Desk Treadmill [from only £879] ,https://sit-stand.com/treadmills-only/44-tr1200-dt3-under-desk-treadmill.html,new,1135.14 GBP,in stock,https://sit-stand.com/img/shop/clean/treadmill.jpg,,LifeSpan,810983020120,TR1200-DT3,4191,GB::Standard:0.00 GBP,Furniture > Office Furniture > Desks,
